Tl1,Src1,Dst1,Protocol1,dure1,moy1,length1,DIS1,DIO1,DAO1,dure2,moy2,length2,DIS2,DIO2,DAO2,on,tx,rx,int,x,y,rank,attack,class
4754.589087,32,9,1,0.025,0.007,714,0,7,0,0.000,0.000,0,0,0,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
4808.858478,32,1,1,0.000,0.001,102,0,1,0,0.000,0.000,0,0,0,0,0.74,0.10,0.01,0.01,34.34,29.70,1,oui,rank
2028.783819,32,7,1,0.054,0.000,0,0,0,0,0.054,0.014,1428,0,14,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2110.716009,32,9,1,0.058,0.000,0,0,0,0,0.058,0.015,1530,0,15,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2250.322607,32,31,1,0.062,0.000,0,0,0,0,0.062,0.016,1632,0,16,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2319.913077,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2321.67043,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2388.837103,32,9,1,0.125,0.000,0,0,0,0,0.125,0.031,3162,0,31,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2413.373973,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2525.254431,32,6,1,0.066,0.000,0,0,0,0,0.066,0.017,1734,0,17,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2554.225546,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2595.194617,32,31,1,0.004,0.000,0,0,0,0,0.004,0.002,204,0,2,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2712.945073,32,31,1,0.012,0.000,0,0,0,0,0.012,0.004,408,0,4,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2812.908301,32,7,1,0.062,0.000,0,0,0,0,0.062,0.016,1632,0,16,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2818.491171,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
2968.805438,32,1,1,0.000,0.000,0,0,0,0,0.000,0.001,102,0,1,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
3037.589575,32,9,1,0.112,0.000,0,0,0,0,0.112,0.028,2856,0,28,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
3147.67866,32,99,1,0.126,0.000,0,0,0,0,0.126,0.030,2910,0,30,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
3288.820441,32,31,1,0.046,0.000,0,0,0,0,0.046,0.012,1224,0,12,0,0.76,0.10,0.02,0.01,34.34,29.70,1,oui,rank
